City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Vaini,TO,80.76,shower rain,-21.2,-175.2,Keleti Beach Resort
31,Butaritari,KI,82.36,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
43,Lorengau,PG,80.78,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
69,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
76,Karratha,AU,84.76,light rain,-20.7377,116.8463,ibis Styles Karratha
89,San Vicente,AR,85.5,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
99,Chuy,UY,86.83,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
105,Samarai,PG,80.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Gaspar,BR,83.05,moderate rain,-26.9314,-48.9589,Believe Tur Viagens
118,San Luis,AR,87.26,clear sky,-33.295,-66.3356,Huarpes Hotel
129,Quelimane,MZ,82.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
140,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
164,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
172,Mahaut,DM,86.94,few clouds,15.35,-61.4,Bayport Residence Inn
175,Acapulco,MX,84.16,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
177,Kavaratti,IN,80.8,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
179,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
180,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
200,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
202,Bamako,ML,82.81,clear sky,12.65,-8.0,Hôtel l’Amitié Bamako
209,Ligayan,PH,80.76,overcast clouds,4.6533,119.4706,
212,Ixtapa,MX,88.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
214,Xuddur,SO,81.0,overcast clouds,4.1213,43.8894,Banjanay Hotel
219,Itumbiara,BR,81.03,overcast clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
238,Lafiagi,NG,84.85,broken clouds,8.8667,5.4167,Bus group international
240,Port Keats,AU,84.76,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
249,Kloulklubed,PW,80.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
254,Ladario,BR,85.55,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
302,Tual,ID,82.2,moderate rain,-5.6667,132.75,Grand Vilia Hotel
303,Mabaruma,GY,82.54,broken clouds,8.2,-59.7833,Monty Brooms Guest House
332,Mahina,PF,82.17,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
346,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
355,Tena,EC,84.67,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
357,Piacabucu,BR,82.56,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
360,Conde,BR,83.37,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
366,Manaure,CO,85.51,clear sky,11.7751,-72.4445,Hotel Palaaima
370,Sinnamary,GF,80.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
386,Luis Correia,BR,82.4,scattered clouds,-2.8792,-41.6669,Hotel Amarração
399,Noumea,NC,80.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
403,Ariquemes,BR,82.33,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
404,Tecoanapa,MX,83.32,clear sky,16.5167,-98.75,Hotel Manglares
411,Samana,DO,81.43,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
420,Poum,NC,80.47,few clouds,-20.2333,164.0167,Gîte kajeon
426,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
431,Mutata,CO,85.48,broken clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
433,Jaguaruna,BR,80.53,light rain,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
439,Nicoya,CR,89.89,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
451,Fare,PF,80.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
467,Phangnga,TH,84.9,overcast clouds,8.4509,98.5298,Sunimit Mansion
469,Sechura,PE,80.74,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
476,Lazaro Cardenas,MX,85.12,clear sky,17.9583,-102.2,quinta antigua
477,Maceio,BR,83.64,overcast clouds,-9.6658,-35.7353,Poutur Pousada
479,Sao Paulo De Olivenca,BR,85.57,overcast clouds,-3.3783,-68.8725,
480,Upata,VE,83.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
483,Riberalta,BO,83.64,overcast clouds,-10.9833,-66.1,Hotel Colonial
495,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
507,Cabedelo,BR,83.28,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
508,Carutapera,BR,80.65,broken clouds,-1.195,-46.02,Lidera
529,Ugoofaaru,MV,81.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
532,Mumford,GH,81.36,overcast clouds,5.2618,-0.759,Spanish Villa
535,Ecoporanga,BR,83.17,overcast clouds,-18.3733,-40.8306,Ecoporanga - Esp. Santo - Pousada Tranquila
539,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
550,El Colomo,MX,86.13,clear sky,19.05,-104.25,Hotel Luna del Mar
553,Kavieng,PG,80.02,moderate rain,-2.5744,150.7967,Nusa Island Retreat
555,Sarh,TD,80.11,few clouds,9.1429,18.3923,Domicile 1sur le goudron
557,Kudahuvadhoo,MV,80.02,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
564,Mandera,KE,89.38,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
572,Sena Madureira,BR,80.67,overcast clouds,-9.0656,-68.6569,Hotel Central
577,Valparaiso,CL,83.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
588,Ritchie,ZA,81.81,scattered clouds,-29.038,24.6028,Riverside Country Club Modderrivier
589,Oranjestad,AW,83.91,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
591,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
599,Coro,VE,82.89,overcast clouds,11.4045,-69.6734,Federal
607,Thinadhoo,MV,81.07,light rain,0.5333,72.9333,
625,Bani,DO,82.74,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
635,Sola,VU,82.26,overcast clouds,-13.8833,167.55,Leumerus Bungalows
643,Gboko,NG,82.58,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
644,Elesbao Veloso,BR,86.49,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
650,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
654,Aracati,BR,85.44,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
662,Cururupu,BR,85.08,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
674,Areia Branca,BR,85.19,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
682,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
